NISP Taxa per Stratigraphic Context,2,3,4,5,6,7H,8,7L
Neritidae gen. indet. ,-,-,1,-,-,-,-,-
Nerita balteata,-,-,-,-,2,-,-,-
Cyclophorus sp.,-,-,-,-,-,7,-,-
Cyclophorus cf. saturnus ,-,-,-,-,-,-,-,1
Cyclophorus malayanus,-,-,-,-,9,1,-,1
Cyclophoridae gen. indet.,-,2,3,2,1,28,5,30
Rhiostoma jalorensis,-,-,2,2,10,9,2,2
Rhiostoma sp. ,-,-,-,-,-,6,3,2
Filopaludina sp. ,-,-,2,-,-,-,-,-
Viviparidae gen. indet.,-,1,-,-,-,-,-,-
Pila sp. ,-,-,-,-,-,2,4,-
Ampullariidae gen. indet. ,-,-,-,-,-,3,-,3
Neoradina prasongi,-,8,134,52,82,1584,2215,771
Telescopium telescopium ,-,-,3,2,3,4,2,-
Muricidae gen. indet.  ,-,1,4,-,1,-,-,-
Plectopylis degerbolae,-,-,1,-,1,2,3,5
Amphidromus atricallosus ,-,-,1,-,1,1,-,-
Anadara sp. ,-,1,-,-,-,-,-,-
Arcidae gen. indet. ,-,-,3,-,1,-,-,-
Pseudodon sp.,-,-,1,9,-,-,-,-
Amblemidae gen. indet.,-,-,-,-,56,72,143,372
Corbiculidae gen. indet. ,-,-,-,-,-,1,-,-
